"main_sector","primary_sector","company_permalink","funding_round_permalink","funding_round_type","funding_round_code","funded_at","raised_amount_usd","name","homepage_url","category_list","other_sectors","status","country_code","state_code","region","city","founded_at","main_sector_value","total_no_of_invs_per_sector","total_amt_inv_per_sector"
"Automotive...Sports","Automotive","/organization/delphi","/funding-round/3fc379fe0b42bbcd9839a6c29b9b3ac1","venture","","13-06-2008",8e+06,"Delphi","http://www.delphi.com","Automotive",NA,"ipo","USA","MI","Detroit","Troy","01-01-2009",1,167,1454104361
"Automotive...Sports","Drones","/organization/ehang","/funding-round/cf1321bcd5745aade7e99eedaaa26ded","venture","A","30-12-2014",1e+07,"Ehang","http://www.ehang.com/en/index.php","Drones",NA,"operating","USA","CA","SF Bay Area","San Carlos","01-01-2014",1,167,1454104361
"Automotive...Sports","Design","/organization/teravicta-technologies","/funding-round/3f45bbbd6726b5b6976697443e4c1b6c","venture","B","19-02-2004",6e+06,"TeraVicta Technologies","","Design|Distribution|Manufacturing","Distribution|Manufacturing","operating","USA","TX","Austin","Austin","01-01-2000",1,167,1454104361
"Automotive...Sports","Drones","/organization/cape-productions","/funding-round/156e4fbce54aca39a8be9a1a2fa1fb77","venture","","13-10-2015",1e+07,"Cape Productions","https://www.cape.com/","Drones|Services|Video","Services|Video","operating","USA","CA","SF Bay Area","Redwood City","13-06-2014",1,167,1454104361
"Automotive...Sports","Cars","/organization/zirx","/funding-round/14d497173d08c86142694f21baa1e091","venture","A","05-09-2014",6400000,"ZIRX","http://zirx.com","Cars|Parking","Parking","operating","USA","CA","SF Bay Area","San Francisco","01-03-2014",1,167,1454104361
"Automotive...Sports","Auto","/organization/streetfire","/funding-round/39f221b07752520670c74009c418f82d","venture","A","01-09-2007",6100000,"StreetFire","http://www.streetfire.net","Auto|Automotive|Cars|Photography|Social Media|Social Network Media|Video","Automotive|Cars|Photography|Social Media|Social Network Media|Video","acquired","USA","CA","Los Angeles","Los Angeles","01-06-2004",1,167,1454104361
"Automotive...Sports","Automotive","/organization/zero-motorcycles","/funding-round/202fa68e001fac1b37a153bdcd140faf","venture","","10-04-2008",5060000,"Zero Motorcycles Inc.","http://www.zeromotorcycles.com","Automotive|Electric Vehicles","Electric Vehicles","operating","USA","CA","SF Bay Area","Scotts Valley","01-01-2006",1,167,1454104361
"Automotive...Sports","Design","/organization/bloo-solar","/funding-round/281338ea198970928b7f7fba60bcfd05","venture","","29-12-2014",1e+07,"Bloo Solar","http://www.bloosolar.com/","Design|Electronics|Energy|Solar","Electronics|Energy|Solar","operating","USA","CA","Sacramento","El Dorado Hills","01-01-2005",1,167,1454104361
"Automotive...Sports","Design","/organization/california-linear-devices","/funding-round/2f1ad49bebd0a69798d071ab0f7cfb99","venture","A","28-08-2001",10500000,"California Linear Devices","","Design",NA,"acquired","USA","CA","San Diego","Carlsbad","",1,167,1454104361
"Automotive...Sports","Automotive","/organization/uber","/funding-round/7fb4f6a6b5c4566beba7c7f328296051","venture","A","14-02-2011",1.1e+07,"Uber","http://www.uber.com","Automotive|Design|Limousines|Public Transportation|Real Time|Transportation","Design|Limousines|Public Transportation|Real Time|Transportation","operating","USA","CA","SF Bay Area","San Francisco","01-03-2009",1,167,1454104361
