"Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","request_datetime","drop_datetime","request_day","request_hour"
619,"Airport",1,"Trip Completed","11/7/2016 11:51","11/7/2016 13:00",2016-07-11 11:51:00,2016-07-11 13:00:00,"11","11"
867,"Airport",1,"Trip Completed","11/7/2016 17:57","11/7/2016 18:47",2016-07-11 17:57:00,2016-07-11 18:47:00,"11","17"
1807,"City",1,"Trip Completed","12/7/2016 9:17","12/7/2016 9:58",2016-07-12 09:17:00,2016-07-12 09:58:00,"12","09"
2532,"Airport",1,"Trip Completed","12/7/2016 21:08","12/7/2016 22:03",2016-07-12 21:08:00,2016-07-12 22:03:00,"12","21"
3112,"City",1,"Trip Completed","13-07-2016 08:33:16","13-07-2016 09:25:47",2016-07-13 08:33:00,2016-07-13 09:25:00,"13","08"
3879,"Airport",1,"Trip Completed","13-07-2016 21:57:28","13-07-2016 22:28:59",2016-07-13 21:57:00,2016-07-13 22:28:00,"13","21"
4270,"Airport",1,"Trip Completed","14-07-2016 06:15:32","14-07-2016 07:13:15",2016-07-14 06:15:00,2016-07-14 07:13:00,"14","06"
5510,"Airport",1,"Trip Completed","15-07-2016 05:11:52","15-07-2016 06:07:52",2016-07-15 05:11:00,2016-07-15 06:07:00,"15","05"
6248,"City",1,"Trip Completed","15-07-2016 17:57:27","15-07-2016 18:50:51",2016-07-15 17:57:00,2016-07-15 18:50:00,"15","17"
267,"City",2,"Trip Completed","11/7/2016 6:46","11/7/2016 7:25",2016-07-11 06:46:00,2016-07-11 07:25:00,"11","06"
1467,"Airport",2,"Trip Completed","12/7/2016 5:08","12/7/2016 6:02",2016-07-12 05:08:00,2016-07-12 06:02:00,"12","05"
1983,"City",2,"Trip Completed","12/7/2016 12:30","12/7/2016 12:57",2016-07-12 12:30:00,2016-07-12 12:57:00,"12","12"
2784,"Airport",2,"Trip Completed","13-07-2016 04:49:20","13-07-2016 05:23:03",2016-07-13 04:49:00,2016-07-13 05:23:00,"13","04"
3075,"City",2,"Trip Completed","13-07-2016 08:02:53","13-07-2016 09:16:19",2016-07-13 08:02:00,2016-07-13 09:16:00,"13","08"
3379,"City",2,"Trip Completed","13-07-2016 14:23:02","13-07-2016 15:35:18",2016-07-13 14:23:00,2016-07-13 15:35:00,"13","14"
